2016-04-13 23:43:06,140  WARN OutputDirectoryHierarchy:184 ###########################################################
2016-04-13 23:43:06,140  WARN OutputDirectoryHierarchy:185 ### THE CONTROLER WILL DELETE THE EXISTING OUTPUT DIRECTORY:
2016-04-13 23:43:06,140  WARN OutputDirectoryHierarchy:186 ### ./output
2016-04-13 23:43:06,140  WARN OutputDirectoryHierarchy:187 ###########################################################
2016-04-13 23:43:06,519  WARN QVehicle:74 No VehicleCapacity (= maximum number of passengers) set in Vehicle. Using default value of 4.  This is only a problem if you need vehicles with different capacities, e.g. for minibuses.
2016-04-13 23:43:06,519  WARN QVehicle:74 No VehicleCapacity (= maximum number of passengers) set in Vehicle. Using default value of 4.  This is only a problem if you need vehicles with different capacities, e.g. for minibuses.
2016-04-13 23:43:06,519  WARN QVehicle:74 No VehicleCapacity (= maximum number of passengers) set in Vehicle. Using default value of 4.  This is only a problem if you need vehicles with different capacities, e.g. for minibuses.
2016-04-13 23:43:06,519  WARN QVehicle:74 No VehicleCapacity (= maximum number of passengers) set in Vehicle. Using default value of 4.  This is only a problem if you need vehicles with different capacities, e.g. for minibuses.
2016-04-13 23:43:06,519  WARN QVehicle:74 No VehicleCapacity (= maximum number of passengers) set in Vehicle. Using default value of 4.  This is only a problem if you need vehicles with different capacities, e.g. for minibuses.
2016-04-13 23:43:06,519  WARN QVehicle:74 No VehicleCapacity (= maximum number of passengers) set in Vehicle. Using default value of 4.  This is only a problem if you need vehicles with different capacities, e.g. for minibuses.
2016-04-13 23:43:06,519  WARN QVehicle:74 No VehicleCapacity (= maximum number of passengers) set in Vehicle. Using default value of 4.  This is only a problem if you need vehicles with different capacities, e.g. for minibuses.
2016-04-13 23:43:06,520  WARN QVehicle:74 No VehicleCapacity (= maximum number of passengers) set in Vehicle. Using default value of 4.  This is only a problem if you need vehicles with different capacities, e.g. for minibuses.
2016-04-13 23:43:06,520  WARN QVehicle:74 No VehicleCapacity (= maximum number of passengers) set in Vehicle. Using default value of 4.  This is only a problem if you need vehicles with different capacities, e.g. for minibuses.
2016-04-13 23:43:06,520  WARN QVehicle:74 No VehicleCapacity (= maximum number of passengers) set in Vehicle. Using default value of 4.  This is only a problem if you need vehicles with different capacities, e.g. for minibuses.
2016-04-13 23:43:06,520  WARN QVehicle:79  Future occurences of this logging statement are suppressed.
